        Source &       Edot &     age &               Distance &                   F_GeV &                   F_TeV &                 F_Xray &                    L_GeV
          Crab &   4.60e+38 &    1.20 &           2.0$\pm 0.5$ &       $485.7 \pm 187.6$ &         $80.0 \pm 16.5$ & $21000.00 \pm 4200.00$ &         $23.24\pm 14.68$
 HESSJ1018-589 & 2.5680e+02 &   21.00 &                      3 &   $6.77458 \pm 6.29718$ &   $0.90000 \pm 0.40000$ &                \nodata &   $ 0.68169 \pm 0.98354$
 HESSJ1023-577 & 1.1000e+03 &    4.60 &                    2.8 & $26.68855 \pm 11.84988$ &   $4.82411 \pm 1.70053$ &                \nodata &   $ 2.50353 \pm 1.11158$
 HESSJ1026-582 & 8.4000e+01 &   90.00 &           2.3$\pm 0.3$ &             $<9.37416 $ &   $3.73537 \pm 2.18879$ &                \nodata &               $<0.59333$
 HESSJ1119-614 & 2.3000e+02 &    1.60 &           8.4$\pm 0.4$ &   $9.09525 \pm 5.16586$ &   $2.31880 \pm 1.15666$ &                \nodata &   $ 7.67864 \pm 4.42215$
 HESSJ1303-631 & 1.7000e+02 &   11.00 &    6.7$^{+1.1}_{-1.2}$ & $15.62663 \pm 11.16170$ &  $26.70000 \pm 1.00000$ &  $0.16000 \pm 0.03000$ &   $ 8.26836 \pm 6.61695$
 HESSJ1356-645 & 3.1000e+02 &    7.30 &    2.5$^{+0.4}_{-0.5}$ &  $16.36471 \pm 9.60730$ &   $6.66231 \pm 3.71138$ &  $0.06040 \pm 0.01200$ &   $ 1.22377 \pm 0.88622$
 HESSJ1418-609 & 4.9000e+02 &    1.03 &           1.6$\pm 0.7$ &            $<24.71138 $ &   $3.41000 \pm 1.82000$ &  $3.11000 \pm 0.14700$ &               $<0.75692$
 HESSJ1420-607 & 1.0000e+03 &   13.00 &           5.6$\pm 0.9$ &  $22.98043 \pm 9.32910$ &  $14.50000 \pm 3.30000$ &  $1.30000 \pm 0.26000$ &   $ 8.62274 \pm 4.48405$
 HESSJ1458-608 & 9.1000e+01 &   64.70 &                    4.0 &            $<14.62661 $ &   $2.45224 \pm 0.68099$ &                \nodata &               $<2.80011$
 HESSJ1514-591 & 1.7000e+03 &    1.56 &           4.2$\pm 0.6$ & $45.89280 \pm 12.69314$ &  $20.30000 \pm 4.25000$ & $28.60000 \pm 5.72000$ &   $ 9.68621 \pm 3.85178$
 HESSJ1554-550 &    \nodata &   18.00 &          7.75$\pm 1.3$ &             $<2.80616 $ &                 \nodata &  $3.07000 \pm 1.00000$ &               $<1.88863$
 HESSJ1616-508 & 1.6000e+03 &    8.13 &           6.5$\pm 0.7$ & $46.06933 \pm 14.00093$ &  $21.00000 \pm 5.00000$ &  $4.20000 \pm 0.84000$ &  $ 25.48829 \pm 9.35628$
 HESSJ1632-478 & 3.0000e+02 &    20.0 &                    3.0 & $78.84318 \pm 19.08355$ &  $14.80030 \pm 4.71778$ &  $0.43000 \pm 0.08000$ &   $ 8.49019 \pm 2.05500$
 HESSJ1640-465 & 4.0000e+02 & \nodata &                \nodata & $29.83811 \pm 11.21209$ &   $5.46577 \pm 1.23707$ &  $0.46000 \pm 0.09200$ &  $ 26.40458 \pm 9.92189$
HESSJ1646-458B & 2.0900e+01 &  110.00 &             $5.7\pm0.$ &            $<24.34214 $ &   $3.00000 \pm 0.80000$ &                \nodata &               $<9.46279$
 HESSJ1702-420 & 3.4000e+01 &   55.00 &    4.8$^{+0.5}_{-0.6}$ &            $<25.68782 $ &   $9.10000 \pm 3.40000$ &  $0.00600 \pm 0.00000$ &               $<7.08142$
 HESSJ1708-443 & 3.4000e+02 &   17.50 &           2.3$\pm 0.3$ & $28.45405 \pm 13.03169$ &  $22.88000 \pm 6.96000$ &  $0.72000 \pm 0.03390$ &   $ 1.80099 \pm 0.94926$
 HESSJ1718-385 & 1.3000e+02 &   89.50 &           3.6$\pm 0.4$ &            $<12.04744 $ &   $4.30000 \pm 1.60000$ &  $0.14000 \pm 0.02800$ &               $<2.59142$
 HESSJ1804-216 & 2.2000e+02 &   16.00 &    3.8$^{+0.4}_{-0.5}$ & $73.79575 \pm 20.66964$ &  $11.80000 \pm 2.40000$ &  $0.06800 \pm 0.01360$ &  $ 12.74998 \pm 4.90011$
 HESSJ1809-193 & 1.8000e+02 &   51.30 &           3.7$\pm 0.5$ &            $<47.52481 $ &  $19.00000 \pm 5.66000$ &  $0.23000 \pm 0.04600$ &               $<6.96574$
 HESSJ1813-178 &   6.80e+37 &    5.40 &                    4.7 &                 $<14.0$ &           $5.0 \pm 0.6$ &                \nodata &                   $<3.7$
