             Name,              PSR,     Edot,     age,               Distance,          Flux_GeV,        Flux_TeV,              Flux_Xray,    Luminosity_GeV
 HESS~J1616$-$508, PSR~J1617$-$5055, 1.60e+37,    8.13,           6.5$\pm 0.7$,   $46.1 \pm 14.0$,  $21.0 \pm 5.0$,        $4.20 \pm 0.84$,  $ 23.0 \pm 8.6 $
 HESS~J1632$-$478,          \nodata,  3.0e+36,    20.0,                    3.0,   $78.8 \pm 19.1$,  $14.8 \pm 4.7$,        $0.43 \pm 0.08$,   $ 8.5 \pm 2.1 $
HESS~J1646$-$458B, PSR~J1648$-$4611, 2.09e+35,  110.00,             $5.7\pm0.$,   $29.8 \pm 11.2$,   $5.5 \pm 1.2$,        $0.46 \pm 0.09$,  $ 26.4 \pm 9.9 $
 HESS~J1640$-$465,          \nodata, 4.00e+36, \nodata,                \nodata,          $<24.3 $,   $4.8 \pm 1.8$,                \nodata,           $<9.5 $
 HESS~J1702$-$420, PSR~J1702$-$4128, 3.40e+35,   55.00,    4.8$^{+0.5}_{-0.6}$,          $<25.7 $,  $44.1 \pm 7.9$,        $0.01 \pm 0.00$,           $<7.1 $
 HESS~J1708$-$443, PSR~J1709$-$4429, 3.40e+36,   17.50,           2.3$\pm 0.3$,   $28.5 \pm 13.0$,  $22.9 \pm 7.0$,                \nodata,   $ 1.8 \pm 0.9 $
 HESS~J1718$-$385, PSR~J1718$-$3825, 1.30e+36,   89.50,           3.6$\pm 0.4$,          $<12.0 $,   $4.3 \pm 1.6$,        $0.14 \pm 0.03$,           $<2.6 $
 HESS~J1804$-$216, PSR~J1803$-$2137, 2.20e+36,   16.00,    3.8$^{+0.4}_{-0.5}$,   $73.8 \pm 20.7$,  $11.8 \pm 2.4$,        $0.07 \pm 0.01$,  $ 12.7 \pm 4.9 $
 HESS~J1809$-$193, PSR~J1809$-$1917, 1.80e+36,   51.30,           3.7$\pm 0.5$,          $<47.5 $,  $19.0 \pm 5.7$,        $0.23 \pm 0.05$,           $<7.8 $
 HESS~J1813$-$178, PSR~J1813$-$1749, 6.80e+37,    5.40,                    4.7,           $<14.0$,   $5.0 \pm 0.6$,                \nodata,            $<3.7$
 HESS~J1818$-$154,          \nodata,  \nodata,    9.00,           10.0 $\pm$ 3,           $<8.9 $,   $1.3 \pm 0.9$,                \nodata,          $<10.6 $
 HESS~J1825$-$137, PSR~J1826$-$1334, 2.80e+36,   21.00,           3.9$\pm 0.4$,   $59.3 \pm 77.3$, $61.0 \pm 13.9$,        $0.44 \pm 0.09$, $ 12.0 \pm 15.9 $
 HESS~J1831$-$098, PSR~J1831$-$0952, 1.10e+36,  128.00,                   4.33,          $<11.3 $,   $5.1 \pm 0.6$,                \nodata,           $<2.5 $
 HESS~J1833$-$105, PSR~J1833$-$1034, 3.40e+37,    4.85,    4.7$^{+0.5}_{-0.4}$,          $<11.9 $,   $2.4 \pm 1.2$,       $40.00 \pm 0.00$,           $<3.2 $
 HESS~J1837$-$069, PSR~J1836$-$0655, 5.50e+36,    2.23,                    6.6,   $69.6 \pm 22.6$,  $22.9 \pm 8.6$,        $0.64 \pm 0.24$, $ 36.3 \pm 11.8 $
 HESS~J1841$-$055, PSR~J1838$-$0537, 5.90e+36,    4.97,                   1.30,   $89.1 \pm 19.6$,  $23.5 \pm 3.4$,                \nodata,   $ 1.8 \pm 0.4 $
 HESS~J1846$-$029, PSR~J1846$-$0258, 8.10e+36,    0.73,                   5.10,           $<11.4$,   $9.0 \pm 1.5$,       $29.00 \pm 1.40$,           \nodata
 HESS~J1848$-$018,          \nodata,  \nodata, \nodata,                   4.70,   $30.0 \pm 16.6$,   $4.3 \pm 1.0$,                \nodata,   $ 7.9 \pm 4.4 $
 HESS~J1849$-$000,  PSR~J1849$-$001, 9.80e+36,   42.90,                   7.00,           $<7.3 $,   $2.1 \pm 0.4$,        $0.90 \pm 0.20$,           $<4.3 $
   HESS~J1857+026,   PSR~J1856+0245, 4.60e+36,   20.60,                    9.0,   $58.3 \pm 10.1$,  $18.4 \pm 2.9$,                \nodata,  $ 56.5 \pm 9.8 $
    MGRO~J1908+06,   PSR~J1907+0602, 2.82e+36,    19.5,            $3.2\pm0.3$,          $<31.8 $,  $11.9 \pm 4.8$,                \nodata,           $<3.9 $
   HESS~J1912+101,   PSR~J1913+1011, 2.90e+36,  169.00,                   4.48,          $<26.5 $,   $7.3 \pm 3.7$,                \nodata,           $<6.4 $
    VER~J1930+188,   PSR~J1930+1852, 1.20e+37,    2.89,                    5.0,           $<5.5 $,   $2.3 \pm 1.3$,        $5.23 \pm 0.12$,           $<2.5 $
    VER~J1959+208,   PSR~J1959+2048, 7.48e+34, \nodata,            $2.5\pm1.0$,           $<1.9 $,         \nodata,                \nodata,           $<0.1 $
    MGRO~J2019+37,   PSR~J2021+3651, 3.40e+36,   17.20,         10$^{+4}_{-2}$,          $<26.7 $,         \nodata,                \nodata,          $<20.5 $
    MGRO~J2228+61,   PSR~J2229+6114, 2.20e+37,   10.50,           0.8$\pm 0.2$,          $<11.6 $,         \nodata,        $0.88 \pm 0.02$,           $<7.4 $
         Vela$-$X, PSR~J0835$-$4510, 6.90e+36,   11.30, 0.30$^{+0.02}_{-0.02}$,    $134.2\pm11.1$,   $79.0\pm21.9$,       $53.90 \pm 10.8$,   $0.14 \pm 0.02$
