I,psrj,ref,age,edot
126,J0520-2553,lml+98,1.27e+08,8.4e+31
127,J0522-6847,mfl+06,6.03e+05,2.3e+33
128,J0525+1115,mlt+78,7.63e+07,6.5e+31
129,J0525-6607,mgi+79,1.96e+03,4.9e+33
130,J0528+2200,sr68,1.48e+06,3.0e+31
131,J0529-6652,mhah83,9.97e+05,6.6e+32
132,J0532-6639,mfl+06,1.9e+06,8.0e+32
133,J0533+0402,snt97,9.54e+07,7.1e+30
134,J0533+67,rap+12,*,*
135,J0534+2200,sr68,1.24e+03,4.6e+38
136,J0534-6703,mfl+06,6.78e+04,2.8e+33
137,J0535-6935,ckm+01,2.76e+05,5.6e+34
138,J0536-7543,mlt+78,3.49e+07,1.2e+31
139,J0537-6910,mgz+98,4.93e+03,4.9e+38
140,J0538+2817,fcwa95,6.18e+05,4.9e+34
141,J0540+32,cfl+06,*,*
142,J0540-6919,shh84,1.67e+03,1.5e+38
143,J0540-7125,lml+98,2.48e+07,1.5e+31
144,J0543+2329,dls72,2.53e+05,4.1e+34
145,J0543-6851,mfl+06,2.85e+06,4.4e+32
146,J0546+2441,clm+05,5.89e+06,1.3e+31
147,J0555-7056,mfl+06,2.2e+06,4.1e+32
148,J0600-5756,mlt+78,1.29e+07,9.5e+30
149,J0601-0527,mlt+78,4.82e+06,8.3e+32
150,J0605+37,rap+12,*,*
151,J0609+2130,lxf+05,3.76e+09,5.4e+31
152,J0610-2100,bjd+06,4.95e+09,8.5e+33
153,J0611+30,cnst96,*,*
154,J0612+3721,stwd85,7.94e+07,8.9e+31
155,J0613-0200,lnl+95,5.06e+09,1.3e+34
156,J0614+2229,dls72,8.93e+04,6.2e+34
157,J0614-3329,rrc+11,2.84e+09,2.2e+34
158,J0621+0336,bkl+13,5.91e+08,1.5e+31
159,J0621+1002,cnst96,9.66e+09,7.8e+31
160,J0621+25,rap+12,*,*
161,J0622+3749,pga+12,2.08e+05,2.7e+34
162,J0623+0340,bkl+13,1.1e+08,1.5e+31
163,J0624-0424,mlt+78,1.98e+07,2.9e+31
164,J0625+10,cnst96,*,*
165,J0627+0649,bkl+13,3.23e+06,1.6e+33
166,J0627+07,cha03,*,*
167,J0627+0706,bkl+13,2.53e+05,1.1e+34
168,J0627+16,dcm+09,*,*
169,J0628+09,cfl+06,*,*
170,J0629+2415,dth78,3.78e+06,7.3e+32
171,J0630-0046,bkl+13,2.88e+06,4.7e+32
172,J0630-2834,lvw69a,2.77e+06,1.5e+32
173,J0631+1036,zcwl96,4.36e+04,1.7e+35
174,J0633+0632,aaa+09c,5.92e+04,1.2e+35
175,J0633+1746,hh92,3.42e+05,3.2e+34
176,J0633-2015,bjd+06,1.35e+07,4.4e+30
177,J0635+0533,cmn+00,*,*
178,J0636-4549,bjd+06,9.91e+06,1.6e+31
179,J0646+0905,bkl+13,1.95e+07,3.9e+31
180,J0647+0913,bkl+13,3.05e+06,1.3e+32
181,J0652-0142,bkl+13,9.6e+07,7.6e+30
182,J0653+8051,dbtb82,5.07e+06,8.4e+31
183,J0656-2228,bjd+06,7.27e+08,5.7e+29
184,J0656-5449,jbo+09,9.09e+07,2.1e+32
185,J0658+0022,bkl+13,9.75e+05,2.0e+33
186,J0659+1414,mlt+78,1.11e+05,3.8e+34
187,J0700+6418,dth78,4.52e+09,3.6e+30
188,J0709-5923,jbo+09,6.1e+07,4.4e+31
189,J0711+0931,lzb+00,4.81e+07,8.8e+30
190,J0711-6830,bjb+97,5.84e+09,3.6e+33
191,J0719-2545,bjd+06,2.12e+06,3.1e+32
192,J0720-3125,hmb+97,1.9e+06,4.7e+30
193,J0721-2038,bkl+13,5.6e+09,4.6e+32
194,J0725-1635,mld+96,7.26e+07,4.8e+31
195,J0726-2612,bjd+06,1.86e+05,2.8e+32
196,J0729-1448,mhl+02,3.52e+04,2.8e+35
197,J0729-1836,mlt+78,4.26e+05,5.6e+33
198,J0733-2345,lfl+06,4.99e+06,3.9e+31
199,J0734-1559,sbd+11,2.03e+05,1.3e+35
200,J0735-62,bb10,*,*
201,J0737-2202,mhl+02,9.28e+05,6.6e+33
202,J0737-3039A,bdp+03,2.04e+08,5.9e+33
203,J0737-3039B,lbk+04,4.92e+07,1.7e+30
204,J0738-4042,lvw68,3.68e+06,1.2e+33
205,J0742-2822,fss73,1.57e+05,1.4e+35
206,J0745-5353,mlt+78,1.25e+06,1.1e+34
207,J0746-4529,bjd+06,2.65e+06,3.0e+31
208,J0749-4247,mld+96,1.78e+07,2.9e+31
209,J0751+1807,lzc95,7.08e+09,7.3e+33
210,J0754+3231,dth78,2.12e+07,1.4e+31
211,J0758-1528,mlt+78,6.68e+06,2.0e+32
212,J0804-3647,bkl+13,8.25e+06,1.6e+31
213,J0806-4123,hmz+04,3.24e+06,1.5e+30
214,J0807-5421,bbb+12,2.21e+07,1.0e+32
215,J0808-3937,bkl+13,3.42e+07,2.4e+31
216,J0809-4753,mlt+78,2.81e+06,7.4e+32
217,J0811-38,kek+13,*,*
218,J0812-3905,bkl+13,1.7e+08,1.6e+31
219,J0814+7429,cp68,1.22e+08,3.1e+30
220,J0815+0939,clm+05,7.35e+07,2.0e+31
221,J0818-3049,bkl+13,2.09e+07,5.1e+31
222,J0818-3232,bjd+06,4.55e+07,2.9e+30
223,J0820-1350,vl70,9.32e+06,4.4e+31
224,J0820-3826,bkl+13,8.1e+05,5.0e+34
225,J0820-3921,bjd+06,1.4e+06,3.9e+32
226,J0820-4114,mlt+78,4.57e+08,4.6e+30
227,J0821-4221,bjd+06,1.81e+06,2.2e+33
228,J0821-4300,gh09,1.49e+06,3.3e+34
229,J0823+0159,mlt+78,1.31e+08,6.4e+30
230,J0826+2637,cls68,4.92e+06,4.5e+32
231,J0828-3417,mlt+78,2.94e+07,6.2e+30
232,J0831-4406,kbm+03,3.86e+06,1.7e+33
233,J0834-4159,kbm+03,4.32e+05,9.9e+34
234,J0834-60,ebvb01,*,*
235,J0835-3707,mlc+01,8.77e+05,2.4e+33
236,J0835-42,bbb+12,*,*
237,J0835-4510,lvm68,1.13e+04,6.9e+36
238,J0837+0610,phbc68,2.97e+06,1.3e+32
239,J0837-4135,lvw68,3.36e+06,3.3e+32
240,J0838-2621,bjd+06,1.25e+08,5.2e+31
241,J0838-3947,mlc+01,3.32e+07,6.5e+30
242,J0840-5332,mlt+78,6.94e+06,1.7e+32
243,J0842-4851,mlt+78,1.07e+06,1.4e+33
244,J0843+0719,bjd+06,*,*
245,J0843-5022,ebvb01,1.92e+07,7.5e+32
246,J0846-3533,mlt+78,1.1e+07,4.5e+31
247,J0847-4316,mll+06,7.9e+05,2.2e+31
248,J0849-6322,ebvb01,7.37e+06,6.3e+32
249,J0849+8028,dtws85,5.69e+07,4.3e+30
250,J0855-3331,mlt+78,3.18e+06,1.2e+32
251,J0855-4644,kbm+03,1.41e+05,1.1e+36
252,J0855-4658,kbm+03,6.69e+05,2.8e+33
253,J0856-6137,mlt+78,9.09e+06,7.4e+31
254,J0857-4424,lml+98,2.22e+05,2.6e+34
255,J0900-3144,bjd+06,3.58e+09,1.4e+33
256,J0901-4624,mlc+01,8e+04,4.0e+34
257,J0902-6325,mlt+78,9.78e+07,1.5e+31
258,J0904-4246,mlt+78,8.1e+06,8.3e+31
259,J0904-7459,mlt+78,1.88e+07,1.1e+32
260,J0905-4536,mld+96,1.05e+08,6.1e+30
261,J0905-5127,mld+96,2.2e+05,2.4e+34
262,J0905-6019,bbb+12,1.03e+07,5.2e+32
263,J0907-5157,mlt+78,2.19e+06,4.4e+33
264,J0908-1739,mlt+78,9.5e+06,4.1e+32
265,J0908-4913,dmd+88,1.12e+05,4.9e+35
266,J0909-7212,mlt+78,6.48e+07,5.2e+30
267,J0910+77,th69,*,*
268,J0912-3851,bbb+12,6.74e+06,4.0e+31
269,J0919-6040,bbb+12,1.93e+09,2.2e+29
270,J0921+6254,dtws85,6.89e+06,3.7e+31
271,J0922+0638,mlt+78,5.01e+05,6.7e+33
272,J0922-4949,mlc+01,1.54e+05,4.5e+33
273,J0922-52,mlb+12,*,*
274,J0923-31,bb10,*,*
275,J0924-5302,mlt+78,3.33e+05,3.4e+33
276,J0924-5814,mlt+78,2.4e+06,4.8e+32
277,J0927+23,rtj+96,*,*
278,J0932-3217,ebvb01,1.22e+08,1.4e+30
279,J0932-5327,lfl+06,8.31e+06,3.9e+30
280,J0934-4154,ebvb01,3.36e+07,5.7e+31
281,J0934-5249,mlt+78,4.92e+06,6.1e+31
282,J0940-5428,mlc+01,4.22e+04,1.9e+36
283,J0941-39,bb10,*,*
284,J0941-5244,mld+96,9.17e+06,1.6e+32
285,J0942-5552,wvl69,4.61e+05,3.1e+33
286,J0942-5657,mlt+78,3.23e+05,3.0e+33
287,J0943+1631,mlt+78,1.89e+08,2.8e+30
288,J0943+22,tdk+93,*,*
289,J0944-1354,mlt+78,2e+08,9.6e+30
290,J0945-4833,kbm+03,1.09e+06,5.2e+33
291,J0946+0951,vazs69,4.98e+06,1.0e+32
292,J0947+27,rtj+96,*,*
293,J0949-6902,bbb+12,1.59e+07,9.6e+31
294,J0952-3839,mlt+78,3.75e+07,8.8e+30
295,J0953+0755,phbc68,1.75e+07,5.6e+32
296,J0954-5430,mlc+01,1.71e+05,1.6e+34
297,J0955-5304,mlt+78,3.88e+06,2.2e+32
298,J0957-5432,mlc+01,1.66e+06,9.1e+33
299,J0959-4809,mlt+78,1.29e+08,1.1e+31
300,J1000-5149,kbm+03,4.22e+06,2.3e+33
301,J1001-5507,wvl69,4.43e+05,6.8e+32
302,J1001-5559,mlc+01,3.06e+07,7.4e+30
303,J1001-5939,lfl+06,2.05e+06,5.1e+30
304,J1002-5559,mlc+01,7.84e+06,1.3e+32
305,J1003-4747,mlt+78,2.2e+05,3.0e+34
306,J1006-6311,lml+98,2.31e+07,3.9e+31
307,J1012-2337,mlt+78,4.53e+07,2.2e+30
308,J1012+5307,nll+95,4.86e+09,4.7e+33
309,J1012-5830,kbm+03,8.98e+05,1.5e+32
310,J1012-5857,jlm+92,7.34e+05,1.3e+33
311,J1013-5934,kbm+03,1.26e+07,2.5e+32
312,J1015-5719,kbm+03,3.86e+04,8.3e+35
313,J1016-5345,mlt+78,6.33e+06,1.7e+32
314,J1016-5819,mlc+01,1.99e+06,4.1e+34
315,J1016-5857,cbm+01,2.1e+04,2.6e+36
316,J1017-5621,mlt+78,2.55e+06,9.7e+32
317,J1017-7156,kjb+12,1.43e+10,8.0e+33
318,J1018-1642,dtws85,1.64e+07,1.2e+31
319,J1019-5749,kbm+03,1.28e+05,1.8e+35
320,J1020-5921,kbm+03,4.85e+05,8.4e+32
321,J1020-6026,lfl+06,3.3e+05,9.6e+34
322,J1021-5601,hfs+04,1.99e+08,7.0e+30
323,J1022+1001,cnst96,6.01e+09,3.8e+32
324,J1022-5813,kbm+03,1.79e+05,1.3e+33
325,J1023+0038,asr+09,2.23e+09,9.8e+34
326,J1023-5746,sdz+10,4.6e+03,1.1e+37
327,J1024-0719,bjb+97,4.42e+09,5.3e+33
328,J1028-5819,kjk+08,9e+04,8.3e+35
329,J1031-6117,kbm+03,2.72e+06,2.4e+33
330,J1032-5206,hfs+04,2.13e+06,5.1e+31
331,J1032-5911,mlt+78,2.45e+06,1.2e+33
332,J1034-3224,mld+96,7.91e+07,6.0e+30
333,J1035-6345,kbm+03,2.62e+07,7.1e+31
334,J1036-4926,mld+96,4.91e+06,4.9e+32
335,J1036-6559,bbb+12,6.21e+06,3.5e+32
336,J1038+0032,bjd+06,6.82e+09,1.1e+32
337,J1038-5831,jlm+92,8.38e+06,1.7e+32
338,J1041-1942,mlt+78,2.32e+07,1.4e+31
339,J1042-5521,mlt+78,2.76e+06,1.7e+32
340,J1043-6116,kbm+03,4.4e+05,1.7e+34
341,J1044-5737,sdz+10,4.03e+04,8.0e+35
342,J1045-4509,bhl+94,6.71e+09,1.7e+33
343,J1046+0304,bjd+06,4.16e+07,1.4e+32
344,J1046-5813,mlt+78,5.12e+06,9.0e+32
345,J1047-3032,lml+98,8.58e+07,6.7e+31
346,J1047-58,kle+10,*,*
347,J1047-6709,lml+98,1.86e+06,8.5e+33
348,J1048-5832,jlm+92,2.03e+04,2.0e+36
349,J1048-5937,scs86,2.68e+03,5.6e+33
350,J1049-5833,mlc+01,7.91e+06,1.6e+31
351,J1052-5954,kbm+03,1.43e+05,1.3e+35
352,J1052-6348,hfs+04,1.57e+07,2.7e+32
353,J1054-5943,kbm+03,1.35e+06,3.9e+33
354,J1054-5946,bbb+12,1.73e+07,6.9e+32
355,J1054-6452,hfs+04,9.29e+06,2.0e+31
356,J1055-6022,hfs+04,1.62e+05,4.3e+33
357,J1055-6028,kel+09,5.35e+04,1.2e+36
358,J1055-6236,kbm+03,1e+07,3.1e+32
359,J1055-6905,ebvb01,2.27e+06,3.2e+31
360,J1056-5709,mlc+01,1.86e+07,7.4e+31
361,J1056-6258,mlt+78,1.87e+06,1.9e+33
362,J1057-4754,ebvb01,4.43e+07,3.6e+31
363,J1057-5226,vl72,5.35e+05,3.0e+34
364,J1057-7914,mlt+78,1.61e+07,2.1e+31
365,J1058-5957,kbm+03,1.49e+07,1.1e+32
366,J1059-5742,mlt+78,4.37e+06,1.0e+32
367,J1103-5403,kjr+11,1.46e+10,3.7e+33
368,J1103-6025,kbm+03,6.34e+06,6.3e+32
369,J1104-6103,kmj+96,2.26e+06,3.5e+33
370,J1105-43,bbb+12,*,*
371,J1105-6107,kbm+97,6.33e+04,2.5e+36
372,J1106-6438,hfs+04,1.85e+07,4.6e+30
373,J1107-5907,lfl+06,4.45e+08,2.2e+31
374,J1107-5947,mlt+78,7.07e+07,3.8e+30
375,J1107-6143,kbm+03,1.83e+05,1.1e+33
376,J1110-5637,jlm+92,4.29e+06,4.7e+32
377,J1112-6103,mlc+01,3.27e+04,4.5e+36
378,J1112-6613,mlt+78,6.43e+06,8.7e+32
379,J1112-6926,mlt+78,4.58e+06,2.0e+32
380,J1114-6100,jlm+92,3.03e+05,2.7e+33
381,J1115+5030,fss73,1.05e+07,2.2e+31
382,J1115-6052,mlc+01,5.69e+05,1.6e+34
383,J1116-4122,mlt+78,1.88e+06,3.7e+32
384,J1117-6154,kbm+03,6.4e+05,3.8e+33
385,J1117-6447,kbm+03,7.63e+07,6.1e+30
386,J1119-6127,ckl+00,1.61e+03,2.3e+36
387,J1119-7936,mlt+78,9.85e+06,1.2e+31
388,J1121-5444,mlt+78,3.07e+06,7.1e+32
389,J1123-4844,lml+98,5.93e+07,1.8e+32
390,J1123-6102,mlc+01,1.57e+06,9.7e+32
391,J1123-6259,lml+98,8.19e+05,1.0e+34
392,J1123-6651,lml+98,1.34e+06,8.6e+33
393,J1124-3653,hrm+11,*,*
394,J1124-5638,kbm+03,3.27e+08,5.6e+31
395,J1124-5916,cmg+02,2.85e+03,1.2e+37
396,J1124-6421,kbm+03,1.22e+07,2.2e+32
397,J1125-5825,kjv+10,8.24e+08,7.9e+34
398,J1125-6014,fsk+04,1.04e+10,8.7e+33
399,J1126-6054,jlm+92,1.14e+07,1.3e+33
400,J1126-6942,lml+98,2.78e+06,6.7e+32
401,J1128-6219,kbm+03,7.43e+08,3.2e+30
402,J1129-53,bb10,*,*
403,J1130-5826,kbm+03,1.62e+08,1.5e+32
404,J1130-5925,mlc+01,1.13e+07,1.2e+32
405,J1130-6807,lml+98,8.84e+06,1.1e+33
406,J1132-46,bbb+12,*,*
407,J1132-5627,kbm+03,4.08e+07,5.0e+32
408,J1133-6250,jlm+92,3.59e+07,1.7e+31
409,J1135-6055,sbd+11,2.3e+04,2.1e+36
410,J1136+1551,phbc68,5.04e+06,8.8e+31
411,J1136-5525,mlt+78,7.03e+05,6.7e+33
412,J1137-6700,lml+98,1.23e+08,1.6e+31
413,J1138-6207,mlc+01,1.49e+05,3.0e+35
414,J1141-3107,mld+96,4.35e+06,5.0e+32
415,J1141-3322,lml+98,9.96e+06,7.4e+32
416,J1141-6545,klm+00a,1.45e+06,2.8e+33
417,J1142+0119,rap+12,*,*
418,J1142-6230,mlc+01,1.13e+08,1.8e+31
419,J1143-5158,mld+96,1.54e+07,8.9e+31
420,J1143-5536,bbb+12,2.24e+07,5.9e+31
421,J1144-6146,mlc+01,*,*
422,J1144-6217,mlc+01,4.37e+05,2.0e+33
423,J1146-6030,mlt+78,2.41e+06,3.5e+33
424,J1147-66,mlb+12,*,*
425,J1148-5725,lfl+06,5.08e+06,9.7e+30
426,J1148-6415,kbm+03,1.9e+07,3.1e+30
427,J1152-5800,hfs+04,2.21e+07,8.8e+30
428,J1152-6012,kbm+03,8.93e+05,4.9e+33
429,J1154-6250,kbm+03,7.99e+06,9.8e+32
430,J1156-5707,hfs+04,1.73e+05,4.4e+34
431,J1156-5909,lml+98,1.61e+07,3.6e+31
