I,psrj,ref,age,edot
517,J1316-6232,cmk01,1.03e+06,5.2e+33
518,J1317-5759,mll+06,3.33e+06,2.7e+31
519,J1317-6302,mlc+01,4.04e+07,2.3e+32
520,J1319-6056,jlm+92,2.95e+06,2.6e+33
521,J1319-6105,kbm+03,4.44e+06,7.9e+32
522,J1320-3512,mld+96,3.82e+09,7.8e+29
523,J1320-5359,mlt+78,4.79e+05,1.7e+34
524,J1321-5922,kel+09,8.55e+06,4.5e+31
525,J1321+8323,dbtb82,1.87e+07,7.4e+31
526,J1322-62,kek+13,*,*
527,J1322-6241,mlc+01,3.1e+06,7.9e+32
528,J1322-6329,kbm+03,3.95e+06,2.1e+31
529,J1324-6146,kbm+03,2.4e+06,3.7e+32
530,J1324-6302,kbm+03,4.02e+07,2.5e+30
531,J1326-5859,mlt+78,2.34e+06,1.2e+33
532,J1326-6408,mlt+78,4.05e+06,2.5e+32
533,J1326-6700,mlt+78,1.62e+06,1.3e+33
534,J1327-0755,blr+13,2.39e+09,3.6e+34
535,J1327-6222,kac+73,4.45e+05,5.0e+33
536,J1327-6301,jlm+92,2.04e+06,8.0e+33
537,J1327-6400,mlc+01,1.43e+05,5.6e+34
538,J1328-4357,mlt+78,2.8e+06,7.9e+32
539,J1328-4921,mlt+78,3.84e+07,7.4e+30
540,J1329-6158,kbm+03,7.32e+05,3.5e+32
541,J1331-5245,kjv+10,2.01e+07,7.4e+31
542,J1332-3032,lml+98,1.84e+07,8.0e+31
543,J1333-4449,jbo+09,1.01e+10,5.2e+29
544,J1334-5839,mld+96,7.9e+07,6.8e+32
545,J1335-3642,mld+96,*,*
546,J1337-6306,hfs+04,9.26e+06,1.6e+33
547,J1337-6423,kjb+12,7.64e+08,9.2e+33
548,J1338-6204,jlm+92,1.42e+06,2.9e+32
549,J1339-4712,jbo+09,4.1e+09,8.1e+30
550,J1339-6618,kbm+03,2.53e+07,7.9e+31
551,J1340-6456,mlt+78,1.19e+06,3.7e+33
552,J1341-6023,mlc+01,5.11e+05,3.1e+33
553,J1341-6220,mdt85,1.21e+04,1.4e+36
554,J1342+2822A,hrs+07,*,*
555,J1342+2822B,hrs+07,2.04e+09,5.4e+34
556,J1342+2822C,hrs+07,*,*
557,J1342+2822D,hrs+07,*,*
558,J1344-6059,kbm+03,1.99e+08,1.1e+31
559,J1345-6115,mlc+01,6.11e+06,6.5e+31
560,J1346-4918,bbb+12,1.36e+08,5.1e+31
561,J1347-5947,mlc+01,6.82e+05,2.5e+33
562,J1348-6307,mlc+01,3.88e+06,1.9e+32
563,J1349-6130,mlc+01,8.02e+05,1.2e+34
564,J1350-5115,lml+98,6.23e+06,1.1e+33
565,J1352-6803,ebvb01,8.07e+06,2.0e+32
566,J1354-6249,kbm+03,3.16e+06,2.3e+31
567,J1355-5153,mlt+78,3.63e+06,4.2e+32
568,J1355-5747,lfl+06,4.52e+07,3.3e+30
569,J1355-5925,kbm+03,3.21e+06,1.3e+32
570,J1355-6206,kbm+03,1.41e+09,5.8e+30
571,J1356-5521,mld+96,1.11e+07,2.2e+32
572,J1357-62,kac+73,*,*
573,J1357-6429,lfl+06,7.31e+03,3.1e+36
574,J1358-2533,mld+96,*,*
575,J1359-6038,mlt+78,3.19e+05,1.2e+35
576,J1400-14,rsm+12,*,*
577,J1400-6325,rmg+10,1.27e+04,5.1e+37
578,J1401-6357,mlt+78,7.98e+05,1.1e+33
579,J1402-5124,vl70,*,*
580,J1403-6310,kbm+03,7.03e+07,5.6e+31
581,J1403-7646,lml+98,1.72e+07,2.1e+31
582,J1404+12,cha03,*,*
583,J1405-5641,lfl+06,8.17e+06,2.0e+32
584,J1406-5806,kbm+03,7.48e+06,1.0e+33
585,J1406-6121,mlc+01,6.17e+04,2.2e+35
586,J1407-6048,mlc+01,2.47e+06,1.0e+33
587,J1407-6153,mlc+01,1.26e+06,1.0e+33
588,J1409-6953,bbb+12,9.97e+06,2.2e+32
589,J1410-6132,ojk+08,2.48e+04,1.0e+37
590,J1410-7404,eb01b,6.55e+08,1.2e+31
591,J1412-6111,mlc+01,4.38e+06,5.1e+32
592,J1412-6145,mlc+01,5.06e+04,1.2e+35
593,J1412+7922,zhi+11,2.34e+09,7.6e+31
594,J1413-6141,kbm+03,1.36e+04,5.6e+35
595,J1413-6205,sdz+10,6.28e+04,8.3e+35
596,J1413-6222,mlc+01,2.08e+06,3.5e+33
597,J1413-6307,jlm+92,8.42e+05,4.8e+33
598,J1414-6802,ebvb01,1.15e+07,2.5e+30
599,J1415-6621,ebvb01,1.07e+07,3.8e+32
600,J1416-5033,bbb+12,1.05e+08,9.4e+30
601,J1416-6037,mlc+01,1.09e+06,6.5e+33
602,J1418-3921,mld+96,1.95e+07,2.7e+31
603,J1418-5945,kbm+03,9.78e+07,2.3e+30
604,J1418-6058,aaa+09c,1.03e+04,4.9e+36
605,J1420-5416,mlt+78,6.26e+07,1.1e+31
606,J1420-5625,hfs+04,8.01e+09,6.7e+31
607,J1420-6048,dkm+01,1.3e+04,1.0e+37
608,J1423-56,kle+10,*,*
609,J1423-6953,ebvb01,3.64e+06,1.5e+33
610,J1424-5556,hfs+04,1.56e+07,6.7e+31
611,J1424-5822,kbm+03,1.47e+06,3.2e+33
612,J1424-6438,kbm+03,6.76e+07,8.8e+30
613,J1425-5723,kbm+03,2.54e+08,2.0e+31
614,J1425-5759,kbm+03,1.51e+07,8.3e+31
615,J1425-6210,mlc+01,1.66e+07,1.5e+32
616,J1427-4158,jbo+09,1.5e+07,1.2e+32
617,J1428-5530,mlt+78,4.34e+06,4.4e+32
618,J1429-5911,sdz+10,6.02e+04,7.7e+35
619,J1429-5935,mlc+01,2.83e+05,3.8e+33
620,J1430-6623,lvw68,4.49e+06,2.3e+32
621,J1432-5032,kjv+10,5.44e+06,2.8e+31
622,J1433-6038,kel+09,5.5e+06,3.0e+31
623,J1434-6006,kbm+03,1.61e+06,4.1e+33
624,J1434-6029,mlc+01,1.48e+07,4.5e+31
625,J1435-5954,hfs+04,4.86e+06,5.8e+32
626,J1435-6100,clm+01,6.05e+09,1.2e+33
627,J1437-5959,cng+09,1.14e+05,1.4e+36
628,J1437-6146,hfs+04,1.17e+06,2.4e+33
629,J1439-5501,fsk+04,3.2e+09,2.4e+32
630,J1440-6344,mlt+78,6.5e+06,4.6e+32
631,J1441-6137,kbm+03,5.18e+07,8.7e+30
632,J1443-5122,kjv+10,3.43e+07,3.4e+31
633,J1444-5941,mlc+01,5.31e+06,1.5e+31
634,J1444-6026,mll+06,4.07e+06,6.8e+30
635,J1446-4701,kjb+12,3.44e+09,3.8e+34
636,J1449-5846,kbm+03,8.54e+07,3.4e+31
637,J1452-5851,mlc+01,1.21e+05,3.5e+34
638,J1452-6036,kbm+03,1.69e+06,1.5e+34
639,J1453+1902,lmcs07,7.9e+09,2.4e+33
640,J1453-6413,lvw69a,1.04e+06,1.9e+34
641,J1454-5846,clm+01,8.78e+08,3.5e+32
642,J1455-3330,lnl+95,5.21e+09,1.9e+33
643,J1455-59,kek+13,*,*
644,J1456-6843,lvw68,4.25e+07,2.1e+32
645,J1457-5122,mlt+78,5.24e+06,3.9e+31
646,J1457-5900,kbm+03,6.49e+06,4.3e+31
647,J1457-5902,kbm+03,5.03e+05,8.1e+33
648,J1459-6053,aaa+09c,6.47e+04,9.1e+35
649,J1501-0046,lbr+13,3.07e+07,9.4e+31
650,J1501-5637,kbm+03,7.3e+07,1.4e+31
651,J1502-5653,hfs+04,4.64e+06,4.7e+32
652,J1502-5828,kbm+03,2.91e+05,4.8e+33
653,J1502-6128,kbm+03,9.9e+06,8.9e+31
654,J1502-6752,kjb+12,1.48e+09,5.9e+32
655,J1503+2111,clm+05,3.75e+08,1.5e+29
656,J1504-5621,kbm+03,1.18e+06,3.1e+33
657,J1506-5158,mlt+78,2.09e+06,4.2e+32
658,J1507-4352,mlt+78,2.83e+06,2.7e+33
659,J1507-6640,mlt+78,4.87e+06,1.0e+33
660,J1509+5531,htg+68,2.34e+06,4.9e+32
661,J1509-5850,kbm+03,1.54e+05,5.1e+35
662,J1509-6015,kbm+03,2.53e+06,2.1e+33
663,J1510-4422,mlt+78,2.45e+07,2.9e+31
664,J1511-5414,kbm+03,6.55e+06,2.4e+33
665,J1511-5835,kbm+03,1.39e+07,5.0e+32
666,J1512-5431,kbm+03,1.68e+07,8.9e+30
667,J1512-5759,jlm+92,2.98e+05,1.3e+35
668,J1513-5739,mlc+01,5.6e+05,1.2e+33
669,J1513-5908,sh82,1.56e+03,1.7e+37
670,J1513-5946,kle+10,1.94e+06,2.9e+32
671,J1514-4834,mlt+78,7.79e+06,3.9e+32
672,J1514-4946,kcj+12,*,*
673,J1514-5925,kbm+03,8.18e+05,3.5e+34
674,J1515-5720,kbm+03,7.45e+05,1.0e+34
675,J1517-4356,ebvb01,4.79e+07,3.1e+31
676,J1517-4636,kjv+10,6.7e+06,1.2e+32
677,J1518+0204A,wakp89,2.13e+09,9.5e+33
678,J1518+0204B,wakp89,*,*
679,J1518+0204C,hrs+07,*,*
680,J1518+0204D,hrs+07,*,*
681,J1518+0204E,hrs+07,*,*
682,J1518-0627,lbr+13,3.01e+07,3.3e+31
683,J1518+4904,nst96,2.39e+10,1.6e+31
684,J1518-5415,kel+09,8.39e+07,1.6e+32
685,J1519-5734,lfl+06,1.92e+06,1.2e+33
686,J1519-6106,lfl+06,4.08e+06,3.3e+31
687,J1519-6308,hfs+04,3.33e+06,1.2e+32
688,J1522-5525,kbm+03,6.67e+06,4.9e+31
689,J1522-5829,jlm+92,3.13e+06,1.3e+33
690,J1524-5625,kbm+03,3.18e+04,3.2e+36
691,J1524-5706,kbm+03,4.96e+04,1.0e+34
692,J1524-5819,kel+09,1.21e+05,5.6e+33
693,J1525-5417,kbm+03,9.91e+05,6.2e+32
694,J1525-5605,kbm+03,3.83e+07,2.1e+32
695,J1526-5633,kbm+03,3.89e+07,1.8e+32
696,J1527-3931,mlt+78,2.01e+06,5.3e+31
697,J1527-5552,mlt+78,1.47e+06,3.9e+32
698,J1528-3146,jbo+07,3.87e+09,4.4e+31
699,J1528-4109,ebvb01,2.11e+07,1.1e+32
700,J1529-5355,kbm+03,1.74e+07,4.5e+31
701,J1529-5611,kbm+03,3.18e+06,2.9e+32
702,J1530-5327,mlc+01,9.44e+05,8.5e+33
703,J1530-63,bbb+12,*,*
704,J1531-4012,ebvb01,5.87e+07,8.4e+31
705,J1531-5610,kbm+03,9.71e+04,9.1e+35
706,J1532+2745,dth78,2.29e+07,2.2e+31
707,J1532-5308,kbm+03,1.08e+08,2.9e+31
708,J1534-4428,bbb+12,1.08e+08,3.9e+30
709,J1534-46,bb10,*,*
710,J1534-5334,lvw68,1.52e+07,2.2e+31
711,J1534-5405,jlm+92,2.97e+06,2.5e+33
712,J1535-4114,ebvb01,1.68e+06,2.0e+33
713,J1535-4415,ebvb01,1.83e+08,1.6e+31
714,J1535-5450,kbm+03,6.26e+05,3.1e+33
715,J1535-5848,kbm+03,1.79e+06,3.7e+33
716,J1536-3602,jbo+09,2.65e+07,1.4e+31
717,J1536-4948,rap+12,*,*
718,J1536-5433,mlc+01,7.31e+06,1.1e+32
719,J1536-5907,kel+09,6.47e+06,3.1e+32
720,J1537+1155,wol90a,2.48e+08,1.8e+33
721,J1537-4912,ebvb01,2.47e+06,2.8e+33
722,J1537-5153,kbm+03,5.8e+06,4.6e+31
723,J1537-5645,mlc+01,2.45e+06,1.4e+33
724,J1538-5438,mlc+01,3.08e+06,2.7e+33
725,J1538-5519,kel+09,1.53e+08,2.6e+31
726,J1538-5551,hfs+04,5.17e+05,1.1e+35
727,J1538-5638,kbm+03,1.88e+06,4.7e+32
728,J1538-5732,lfl+06,1.19e+06,4.5e+33
729,J1538-5750,kbm+03,1.91e+08,1.3e+31
730,J1539-4828,ekl09,1.59e+07,2.4e+31
731,J1539-5521,kbm+03,2.19e+07,2.8e+31
732,J1539-5626,jlm+92,7.95e+05,1.3e+34
733,J1539-6322,ebvb01,1.28e+08,1.8e+30
734,J1540-5736,mlc+01,2.31e+07,7.2e+31
735,J1541-5535,kbm+03,6.25e+04,1.1e+35
736,J1542-5034,mld+96,2.39e+06,7.3e+32
737,J1542-5133,hfs+04,4.8e+07,4.1e+30
738,J1542-5303,kbm+03,2.46e+05,1.7e+33
739,J1543-0620,mlt+78,1.28e+07,9.7e+31
740,J1543+0929,ls69,2.74e+07,4.1e+31
741,J1543-5013,kbm+03,1.01e+06,1.5e+33
742,J1543-5149,kjb+12,2.03e+09,7.3e+34
743,J1543-5459,mlc+01,1.15e+05,3.8e+34
744,J1544-5308,mlt+78,4.66e+07,4.2e+32
745,J1546-3747A,lr11,*,*
746,J1546-5302,kbm+03,7.8e+05,2.4e+33
747,J1546-59,mlb+12,*,*
748,J1547-0944,lbr+13,8.5e+06,3.0e+31
749,J1547-5750,hfs+04,4.01e+08,3.7e+30
750,J1547-5839,kbm+03,6.46e+06,1.7e+33
751,J1548-4821,kbm+03,2.88e+09,1.0e+31
752,J1548-4927,kbm+03,2.36e+06,7.3e+32
753,J1548-5607,mlc+01,2.52e+05,8.5e+34
754,J1549-06,hrm+11,*,*
755,J1549+2113,lxf+05,2.34e+07,1.7e+31
756,J1549-4848,mld+96,3.24e+05,2.3e+34
757,J1549-5722,kbm+03,1.68e+08,1.5e+31
758,J1550-5242,kbm+03,6.68e+05,1.7e+33
759,J1550-5317,kbm+03,2.41e+07,1.3e+31
760,J1550-5418,crhr07,1.41e+03,1.0e+35
761,J1551-4424,bbb+12,5.68e+07,2.4e+31
762,J1551-49,fsk+04,*,*
763,J1551-5310,hfs+04,3.68e+04,8.3e+34
764,J1552-62,bbb+12,*,*
765,J1553-5456,mlt+78,1.09e+06,4.9e+32
766,J1554-5209,kle+10,8.65e+05,4.6e+34
767,J1554-5512,kbm+03,1.74e+06,3.1e+31
768,J1555-0515,blr+13,7.52e+06,8.7e+31
769,J1555-2341,mlt+78,1.22e+07,1.8e+32
770,J1555-3134,mlt+78,1.32e+08,1.8e+31
771,J1556-5358,kbm+03,1.51e+06,4.2e+32
772,J1557-4258,mld+96,1.58e+07,3.7e+32
773,J1558-5419,mlc+01,1.56e+06,1.1e+33
774,J1558-5756,lfl+06,9.54e+04,5.2e+33
775,J1559-4438,vl72,4e+06,2.4e+33
776,J1559-5545,mlt+78,7.41e+05,9.2e+32
777,J1600-3053,jbo+07,6e+09,8.1e+33
778,J1600-5044,kac+73,6.03e+05,2.8e+34
779,J1600-5751,mlt+78,1.45e+06,1.1e+34
780,J1600-5916,lfl+06,2.23e+07,1.8e+31
781,J1601-50,kek+13,*,*
782,J1601-5244,mlc+01,5.63e+07,1.7e+30
783,J1601-5335,mlc+01,7.33e+04,1.0e+35
784,J1602-4957,kbm+03,8.15e+05,1.1e+33
785,J1602-5100,kac+73,1.97e+05,4.3e+33
786,J1603-2531,mld+96,2.82e+06,2.8e+33
787,J1603-2712,mlt+78,4.1e+06,2.5e+32
788,J1603-3539,ebvb01,1.81e+07,1.7e+33
789,J1603-5657,lml+98,2.81e+06,9.0e+32
790,J1603-7202,llb+96,1.5e+10,1.9e+32
791,J1604-44,kjr+11,*,*
792,J1604-4718,lfl+06,1.68e+06,1.3e+33
793,J1604-4909,mlt+78,5.09e+06,1.1e+33
794,J1604-7203,lml+98,6.44e+07,8.3e+31
795,J1605+3249,hab07,*,*
796,J1605-5215,mlc+01,3.38e+06,1.8e+32
797,J1605-5257,kac+73,4.07e+07,3.5e+31
798,J1607-0032,vl70,2.18e+07,1.6e+32
799,J1607-5140,mlc+01,2.14e+06,2.5e+33
800,J1607-6449,bbb+12,1.9e+08,3.7e+31
801,J1609-1930,jbo+09,4.85e+07,5.3e+30
802,J1609-4616,hfs+04,7.89e+06,1.3e+33
803,J1609-5158,mlc+01,1.56e+06,2.4e+32
804,J1610-1322,dtws85,7.02e+07,8.6e+30
805,J1610-17,bb10,*,*
806,J1610-5006,mlc+01,5.59e+05,4.8e+33
807,J1610-5303,kbm+03,4.77e+06,2.1e+32
808,J1611-4811,kbm+03,1.05e+07,3.5e+31
809,J1611-4949,mlc+01,1.95e+07,7.2e+31
810,J1611-5209,jlm+92,5.6e+05,3.4e+34
811,J1611-5847,lfl+06,2.79e+09,1.8e+30
812,J1612+2008,blr+13,1.81e+08,1.9e+31
813,J1612-2408,jbo+09,9.3e+06,7.9e+31
814,J1612-5136,kbm+03,2.02e+06,1.3e+33
815,J1612-5805,kjv+10,1.04e+07,1.6e+32
816,J1613-4714,mlt+78,9.59e+06,4.5e+32
817,J1613-5211,mlc+01,3.77e+05,7.9e+33
818,J1613-5234,mlc+01,1.57e+06,9.3e+32
819,J1614+0737,mlt+78,8.1e+06,5.3e+31
820,J1614-2230,crh+06a,5.19e+09,1.2e+34
821,J1614-23,crh+06a,*,*
822,J1614-38,bbb+12,*,*
823,J1614-3937,mld+96,4.07e+07,9.3e+31
824,J1614-5048,jlm+92,7.42e+03,1.6e+36
825,J1614-5144,kbm+03,3.27e+06,8.1e+31
826,J1614-5402,kbm+03,3.13e+08,6.1e+30
827,J1615-2940,mlt+78,2.48e+07,4.1e+30
828,J1615-5444,kbm+03,1.69e+07,2.8e+32
829,J1615-5537,jlm+92,6.27e+06,1.6e+32
830,J1616-5109,mlc+01,1.01e+06,4.2e+32
831,J1616-5208,mlc+01,5.62e+05,1.1e+33
832,J1617-4216,ebvb01,3e+06,1.8e+31
833,J1617-4608,lfl+06,5.46e+05,3.6e+33
834,J1617-5055,kcm+98,8.13e+03,1.6e+37
835,J1618-39,eb01b,*,*
836,J1618-4723,kbm+03,1.62e+06,9.3e+33
837,J1619-42,kek+13,*,*
838,J1620-4927,pga+12,2.6e+05,8.1e+34
839,J1620-5414,hfs+04,2.72e+08,1.7e+30
840,J1621-5039,mlc+01,1.32e+06,4.0e+32
841,J1621-5243,kbm+03,7.67e+06,5.9e+32
842,J1622-3751,bbb+12,4.51e+06,2.6e+32
843,J1622-4332,lml+98,9.28e+06,8.0e+31
844,J1622-4347,lfl+06,1.44e+06,2.1e+33
845,J1622-4802,mlc+01,1.37e+07,6.5e+32
846,J1622-4944,mlc+01,9.95e+05,5.5e+32
847,J1622-4950,lbb+10,4.03e+03,8.3e+33
848,J1622-6617,kjb+12,5.88e+09,1.9e+32
849,J1623-0841,blr+13,4.07e+06,6.1e+32
850,J1623-0908,mlt+78,7.84e+06,4.9e+31
851,J1623-2631,lbb+88,2.62e+08,1.9e+34
852,J1623-4256,mlt+78,5.65e+06,8.3e+32
853,J1623-4949,mlc+01,2.73e+05,4.3e+33
854,J1624-4411,lfl+06,4.62e+06,2.5e+33
855,J1624-4613,lfl+06,2.27e+08,3.6e+30
856,J1624-4721,kbm+03,1.71e+06,1.8e+33
857,J1625-4048,mld+96,8.42e+07,1.3e+30
858,J1625-4904,mlc+01,4.35e+05,6.8e+33
859,J1625-4913,kjv+10,8.48e+05,5.8e+33
860,J1626-44,kek+13,*,*
861,J1626-4537,kbm+03,7.08e+05,6.4e+33
862,J1626-4807,mlc+01,2.66e+05,2.7e+34
863,J1626-6621,bbb+12,9.32e+06,3.3e+32
864,J1627+1419,fcwa95,1.98e+07,1.3e+32
865,J1627-4706,lfl+06,1.29e+06,2.5e+34
866,J1627-4845,kmj+96,2.66e+06,6.3e+32
867,J1627-5547,kbm+03,7.57e+06,6.7e+32
868,J1627-5936,kjv+10,7.02e+08,7.1e+30
869,J1628-3205,rap+12,*,*
870,J1628-4804,mlc+01,1.1e+07,7.6e+31
871,J1628-4828,kbm+03,3.74e+06,9.8e+30
872,J1629-3636,bbb+12,6.76e+06,1.0e+31
873,J1629-6902,eb01b,9.51e+09,1.8e+33
874,J1630+37,rap+12,*,*
875,J1630-4719,kbm+03,6.25e+05,3.2e+33
876,J1630-4733,jlm+92,4.09e+05,4.6e+33
877,J1631-1612,rsm+12,9.8e+06,1.4e+32
878,J1631-4155,lfl+06,9.91e+08,2.1e+30
879,J1632-1013,crh+06a,1.72e+08,7.0e+30
880,J1632-4509,hfs+04,1.11e+06,5.1e+32
881,J1632-4621,mlc+01,3.56e+05,6.0e+32
882,J1632-4757,hfs+04,2.4e+05,5.0e+34
883,J1632-4818,mlc+01,1.98e+04,4.8e+34
884,J1633-2009,blr+13,1.39e+07,5.2e+31
885,J1633-4453,jlm+92,1.12e+06,2.9e+33
886,J1633-4805,kbm+03,1.46e+05,8.5e+33
887,J1633-5015,jlm+92,1.47e+06,3.4e+33
888,J1634-5107,lfl+06,5.11e+06,4.8e+32
889,J1634-5640,bbb+12,8.66e+07,1.4e+32
890,J1635-1511,jbo+09,8.05e+07,5.6e+30
891,J1635+2418,skk+80,6.51e+07,4.0e+31
892,J1635-26,bbb+12,*,*
893,J1635-4513,kbm+03,7.02e+06,3.5e+31
894,J1635-4735,etm+09,*,*
895,J1635-4944,kbm+03,1.21e+06,1.1e+33
896,J1635-5954,mlt+78,6.13e+06,3.6e+32
897,J1636-4440,kel+09,7.01e+04,2.1e+35
898,J1636-4803,kbm+03,9.22e+05,4.7e+32
899,J1636-4933,kbm+03,4.53e+06,7.5e+32
900,J1637-4335,kbm+03,3.38e+06,3.1e+32
901,J1637-4450,lfl+06,6.96e+06,1.4e+33
902,J1637-4553,jlm+92,5.9e+05,7.5e+34
903,J1637-46,kek+13,*,*
904,J1637-4642,kbm+03,4.12e+04,6.4e+35
905,J1637-4721,kbm+03,4.16e+06,1.1e+32
906,J1637-4816,kel+09,2.27e+06,3.9e+32
907,J1638-3815,lfl+06,1.44e+08,8.9e+30
908,J1638-3951,eklk13,2.07e+07,5.1e+31
909,J1638-42,bbb+12,*,*
910,J1638-4344,kbm+03,7.11e+08,7.0e+29
911,J1638-4417,hfs+04,1.16e+06,3.9e+34
912,J1638-4608,kbm+03,8.56e+04,9.4e+34
913,J1638-4725,lfl+06,2.53e+06,4.2e+32
914,J1638-5226,kbm+03,2.04e+06,2.6e+33
915,J1639-4359,kbm+03,6.21e+08,2.9e+30
916,J1639-4604,jlm+92,1.45e+06,1.5e+33
917,J1640+2224,wol95,1.77e+10,3.5e+33
918,J1640-4648,kbm+03,3.51e+06,5.6e+33
919,J1640-4715,jlm+92,1.95e+05,1.2e+34
920,J1640-4951,kbm+03,3.51e+07,3.3e+31
921,J1641-2347,ebvb01,4.21e+08,1.2e+30
922,J1641+3627A,kapw91,*,*
923,J1641+3627B,and92,*,*
924,J1641+3627C,hrs+07,*,*
925,J1641+3627D,hrs+07,*,*
926,J1641+3627E,hrs+07,*,*
927,J1643-1224,lnl+95,3.97e+09,7.4e+33
928,J1643-4505,lfl+06,1.18e+05,9.4e+34
929,J1643-4522,kbm+03,2.58e+06,1.3e+32
930,J1643-4550,kbm+03,3.79e+05,3.2e+33
931,J1644-44,kek+13,*,*
932,J1644-4559,kac+73,3.59e+05,8.4e+33
933,J1644-46,kek+13,*,*
934,J1644-4657,eklk13,2.66e+06,1.5e+34
935,J1645-0317,ht69,3.45e+06,1.2e+33
936,J1645+1012,fcwa95,8.01e+07,4.6e+31
937,J1646-2142,rap+12,*,*
938,J1646-4308,kbm+03,1.21e+08,7.3e+30
939,J1646-4346,jlm+92,3.25e+04,3.6e+35
940,J1646-5123,lfl+06,4e+06,5.6e+32
941,J1646-6831,mlt+78,1.66e+07,1.2e+31
942,J1647-3607,bb10,2.61e+07,5.3e+32
943,J1647-4552,mcc+06,2.02e+05,2.8e+31
944,J1648-3256,mld+96,3.23e+06,3.7e+32
945,J1648-4458,kbm+03,5.38e+06,2.9e+32
946,J1648-4611,kbm+03,1.1e+05,2.1e+35
947,J1648-6044,kjv+10,2.16e+07,8.5e+31
948,J1649+2533,fcwa95,2.88e+07,2.1e+31
949,J1649-3805,lfl+06,1.13e+08,8.0e+31
950,J1649-4349,mlc+01,3.14e+08,2.6e+30
951,J1649-4653,kbm+03,1.77e+05,1.1e+34
952,J1649-4729,mlc+01,7.2e+05,9.8e+33
953,J1649-5553,ebvb01,5.73e+06,2.9e+32
954,J1650-1654,mld+96,8.66e+06,2.4e+31
955,J1650-4126,kbm+03,2.47e+08,2.7e+31
956,J1650-4341,kbm+03,2.94e+08,2.2e+31
957,J1650-4502,mlc+01,3.76e+05,1.1e+34
958,J1650-4921,lfl+06,1.36e+06,1.9e+34
959,J1651-1709,mlt+78,5.08e+06,1.3e+32
960,J1651-4246,mlt+78,2.78e+06,3.2e+32
961,J1651-4519,kbm+03,1e+06,2.3e+33
962,J1651-5222,mlt+78,5.55e+06,2.8e+32
963,J1651-5255,mlt+78,6.82e+06,1.2e+32
964,J1651-7642,jbo+09,2.04e+07,9.9e+30
965,J1652-1400,jbo+09,2.75e+08,2.4e+31
966,J1652-2404,mlt+78,8.55e+06,2.5e+31
967,J1652+2651,fcwa95,2.22e+07,3.4e+31
968,J1652-4406,kkl+11,1.29e+07,8.2e+29
969,J1652-48,kek+13,*,*
970,J1653-3838,jlm+92,1.73e+06,3.9e+33
971,J1653-4030,lfl+06,3.7e+07,1.6e+31
972,J1653-4249,mlc+01,2.02e+06,8.3e+32
973,J1653-4315,kbm+03,4.43e+08,8.0e+30
974,J1653-4854,kbm+03,1.41e+07,4.8e+30
975,J1654-23,bb10,*,*
976,J1654-2713,lml+98,7.49e+07,1.3e+31
977,J1654-3710,lfl+06,2.03e+07,3.5e+31
978,J1654-4140,kbm+03,1.55e+08,2.5e+30
979,J1654-4245,kel+09,3.41e+05,1.5e+33
980,J1655-3048,ebvb01,2.35e+08,9.0e+30
981,J1655-3844,eklk13,9.45e+06,4.6e+31
982,J1656-3621,lfl+06,9.07e+06,1.3e+32
983,J1657-4432,kbm+03,1.18e+06,1.4e+33
984,J1658-4306,kbm+03,4.32e+05,1.1e+33
985,J1658-4958,hfs+04,1.71e+06,2.1e+33
986,J1658-5324,kcj+12,*,*
987,J1659-1305,dtws85,1.64e+07,9.3e+31
988,J1659-4316,kbm+03,4.4e+07,6.3e+31
989,J1659-4439,kbm+03,2.24e+08,2.2e+31
990,J1700-3312,mld+96,4.57e+06,7.4e+31
991,J1700-3611,lfl+06,5.47e+06,5.1e+31
992,J1700-3919,hfs+04,1.77e+09,1.1e+30
993,J1700-4012,lfl+06,4.54e+07,1.7e+32
994,J1700-4422,kjv+10,2.99e+08,3.7e+30
995,J1700-4939,kbm+03,8.5e+06,2.2e+32
996,J1701-3006A,dlm+01,*,*
997,J1701-3006B,pdm+03,*,*
998,J1701-3006C,pdm+03,*,*
999,J1701-3006D,cha03,4.31e+08,1.2e+35
1000,J1701-3006E,cha03,1.65e+08,3.6e+35
1001,J1701-3006F,cha03,1.64e+08,7.3e+35
1002,J1701-3130,ebvb01,8.25e+07,8.9e+31
1003,J1701-3726,jlm+92,3.49e+06,3.0e+31
1004,J1701-4533,jlm+92,9.85e+06,6.1e+32
1005,J1701-4958,eklk13,1.16e+08,8.3e+30
1006,J1702-3932,kbm+03,1.64e+07,2.5e+32
1007,J1702-4128,kbm+03,5.51e+04,3.4e+35
1008,J1702-4217,hfs+04,3.16e+08,3.8e+31
1009,J1702-4306,kel+09,3.49e+05,3.9e+34
1010,J1702-4310,kbm+03,1.7e+04,6.3e+35
1011,J1702-4428,kbm+03,1.02e+07,1.4e+31
1012,J1703-1846,vl72,7.36e+06,1.3e+32
1013,J1703-3241,dls73,2.91e+07,1.5e+31
1014,J1703-38,kle+10,*,*
1015,J1703-4442,kbm+03,1.94e+06,1.1e+32
1016,J1703-4851,mld+96,4.35e+06,7.4e+31
1017,J1704-6016,mlt+78,5.33e+06,1.2e+33
1018,J1705-1906,mlt+78,1.14e+06,6.1e+33
1019,J1705-3423,mld+96,3.76e+06,2.5e+33
1020,J1705-3936,kbm+03,7.03e+05,1.2e+33
1021,J1705-3950,kbm+03,8.34e+04,7.4e+34
